City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy
Carrollton,TX,119564.0,122527.0,125484.0,126545.0,128349.0,133060.0,133704.0,136054.0,137013.0,139248.0,133562.0,133579.0,134244.0,134043.0,135456.0,0.0247817068682881,0.0241334562994278,0.0084552612285231,0.0142557983326089,0.0367046100865608,0.0048399218397715,0.0175761383354275,0.0070486718508827,0.0163123207286899,-0.0408336205906009,0.0001272817118641,0.004978327431707,-0.0014972736211674,0.0105413934334504
Cary,NC,137086.0,142209.0,146154.0,151328.0,155439.0,159712.0,162477.0,165927.0,168042.0,170282.0,174803.0,176928.0,180376.0,181205.0,182659.0,0.037370701603373,0.0277408602831044,0.0354010153673522,0.0271661556354408,0.0274898834912731,0.0173124123422159,0.0212337746265625,0.0127465692744399,0.013330000833125,0.0265500757566859,0.0121565419357791,0.0194881533731235,0.0045959551159799,0.0080240611462156
Castle Rock,CO,48586.0,49693.0,51017.0,52657.0,55154.0,57175.0,59284.0,62297.0,65000.0,68484.0,73888.0,76657.0,80235.0,81654.0,83213.0,0.0227843411682377,0.0266435916527478,0.0321461473626438,0.0474200960935868,0.0366428545527069,0.0368867512024486,0.0508231563322312,0.0433889272356614,0.0536,0.0789089422346825,0.0374756388046773,0.0466754503828743,0.0176855487006917,0.0190927572439807
Cedar Park,TX,55777.0,58840.0,61496.0,64800.0,67161.0,69556.0,72545.0,75559.0,76903.0,79462.0,78037.0,78939.0,78025.0,78060.0,78380.0,0.0549151083780052,0.0451393609789259,0.0537270716794588,0.0364351851851851,0.0356605768228585,0.0429725688653746,0.0415466262319939,0.0177874243968289,0.0332756849537729,-0.0179331000981601,0.0115586196291502,-0.0115785606607633,0.0004485741749439,0.0040994107097104
Chandler,AZ,236454.0,236834.0,237660.0,239888.0,240888.0,243679.0,247845.0,253599.0,257186.0,261165.0,277429.0,279667.0,280996.0,281543.0,281231.0,0.0016070779094453,0.0034876749115414,0.0093747370192712,0.0041686120189421,0.0115862973664109,0.0170962618855133,0.0232161229800883,0.0141443775409209,0.0154712931497048,0.0622748071142764,0.0080669288358462,0.004752080152467,0.0019466469273583,-0.001108178857226
Chapel Hill,NC,57406.0,57370.0,58650.0,58860.0,59120.0,59046.0,59654.0,58918.0,63367.0,64051.0,57017.0,61635.0,62230.0,63098.0,64028.0,-0.0006271121485559,0.0223113125326825,0.0035805626598465,0.0044172612979952,-0.0012516914749661,0.0102970565321952,-0.012337814731619,0.0755117281645677,0.0107942619975697,-0.1098187381930024,0.080993387936931,0.0096536059057353,0.0139482564679415,0.014738977463628
Charleston,SC,120700.0,123012.0,125223.0,127246.0,129434.0,132413.0,134453.0,135626.0,136111.0,137566.0,151065.0,152116.0,154291.0,156263.0,157665.0,0.0191549295774647,0.0179738562091503,0.0161551791603778,0.0171950395297298,0.0230155909575536,0.0154063422775709,0.0087242382096345,0.0035760104994617,0.0106898046447384,0.0981274442812904,0.0069572700493165,0.0142982986668069,0.0127810436123947,0.0089720535251467
Charlotte,NC,738444.0,754829.0,773264.0,792047.0,807400.0,825668.0,843117.0,860002.0,872514.0,885708.0,874948.0,882341.0,898699.0,920053.0,943476.0,0.0221885478113438,0.0244227500533233,0.024290539841503,0.0193839506998953,0.0226257121624969,0.0211331915491456,0.0200268764596135,0.0145488033748758,0.0151218203948589,-0.012148473311746,0.0084496450074747,0.018539317565431,0.0237610145332308,0.025458315988318
Chicago,IL,2697477.0,2708114.0,2719141.0,2725731.0,2727066.0,2724344.0,2716723.0,2711069.0,2701423.0,2693976.0,2745196.0,2706324.0,2684076.0,2699144.0,2721308.0,0.0039433144378988,0.0040718374484973,0.0024235594991212,0.0004897768708651,-0.0009981423258549,-0.0027973706697832,-0.0020811838380283,-0.0035580060854223,-0.0027566952676422,0.0190127900174314,-0.0141600089756796,-0.0082207451879375,0.0056138499804029,0.008211492236057
Chula Vista,CA,244648.0,248318.0,252379.0,256691.0,259885.0,264206.0,266238.0,269046.0,270819.0,274492.0,275808.0,275745.0,275516.0,276181.0,278546.0,0.0150011445014878,0.0163540299132563,0.0170854151890608,0.0124429761853746,0.0166265848356003,0.0076909684110126,0.0105469542289229,0.006589951160768,0.0135625639264601,0.0047943109453098,-0.0002284197702749,-0.0008304774338609,0.0024136529275976,0.0085632248416799
Clarksville,TN,133486.0,136104.0,142652.0,142281.0,145899.0,148147.0,149162.0,152917.0,156376.0,158146.0,167533.0,170862.0,177020.0,181142.0,185690.0,0.019612543637535,0.0481102686181155,-0.0026007346549645,0.0254285533556834,0.0154079191769648,0.006851303097599,0.0251739719231439,0.0226201141795876,0.0113188724612472,0.059356543953056,0.0198707120388222,0.0360407814493567,0.0232855044627725,0.0251073743251151
Clearwater,FL,109052.0,109204.0,109538.0,110279.0,111167.0,112939.0,114175.0,115482.0,116324.0,116946.0,117343.0,117133.0,117344.0,117555.0,116811.0,0.0013938304661996,0.0030584960257866,0.0067647756942796,0.0080523037024274,0.0159399821889589,0.0109439608992464,0.0114473396102474,0.0072911795777696,0.0053471338674736,0.0033947291912506,-0.001789625286553,0.001801371090982,0.001798131988001,-0.0063289524052571
Cleveland,OH,395926.0,392667.0,391550.0,391792.0,390871.0,389244.0,387662.0,385252.0,383214.0,381009.0,371853.0,365432.0,363622.0,364276.0,365379.0,-0.0082313361587771,-0.0028446495376489,0.0006180564423445,-0.0023507371258218,-0.004162498624866,-0.0040642887237825,-0.0062167558336901,-0.0052900439193047,-0.0057539651474111,-0.024030928403266,-0.0172675761658504,-0.0049530418792005,0.0017985710435562,0.0030279238818917
Coconut Creek,FL,53183.0,54324.0,55131.0,56920.0,58502.0,59202.0,59815.0,61070.0,61205.0,61248.0,57727.0,57251.0,57912.0,58873.0,59721.0,0.0214542240941654,0.0148553125690302,0.0324499827683154,0.0277933942375263,0.0119654028922088,0.0103543799195973,0.0209813591908384,0.0022105780252169,0.0007025569806388,-0.0574875914315569,-0.0082457082474405,0.0115456498576444,0.0165941428374084,0.0144038863315951
College Station,TX,94666.0,95671.0,97761.0,100601.0,103469.0,108952.0,111068.0,114483.0,116035.0,117911.0,120779.0,122696.0,124587.0,126838.0,128023.0,0.010616271945577,0.0218457003689728,0.0290504393367498,0.0285086629357561,0.0529917173259623,0.0194213965783097,0.0307469298087658,0.0135565979228357,0.0161675356573447,0.0243234303839336,0.0158719644971394,0.0154120753732803,0.018067695666482,0.0093426260269004
Collierville,TN,45661.0,45949.0,46438.0,47359.0,48754.0,48984.0,49462.0,50252.0,50671.0,51040.0,51332.0,51254.0,51461.0,51535.0,51951.0,0.0063073520071833,0.010642233780931,0.0198328954735346,0.0294558584429569,0.0047175616359683,0.0097582884207088,0.0159718571832922,0.0083379765979463,0.0072822719109549,0.0057210031347962,-0.0015195199875321,0.0040387091739181,0.0014379821612483,0.0080721839526535
Colorado Springs,CO,420685.0,427434.0,432782.0,438146.0,442361.0,449572.0,458714.0,465167.0,472567.0,478221.0,481713.0,484837.0,488136.0,491301.0,493554.0,0.0160428824417319,0.0125118731780812,0.012394230813666,0.0096200809775736,0.0163011657899317,0.020334896301371,0.0140675889552095,0.0159082652036795,0.0119644410210615,0.0073020632720018,0.0064851893139691,0.0068043486780093,0.0064838487634593,0.0045857834606483
Columbia,SC,130774.0,131302.0,131761.0,131527.0,131781.0,133616.0,134129.0,134005.0,132770.0,131674.0,136207.0,136400.0,139639.0,142173.0,144788.0,0.0040374998088305,0.0034957578711672,-0.0017759428055342,0.0019311624229245,0.0139246173575856,0.003839360555622,-0.0009244831468213,-0.0092160740270885,-0.0082548768547111,0.0344259307076567,0.0014169609491435,0.0237463343108504,0.0181467928014379,0.0183930844815823
Columbus,OH,790943.0,800607.0,812740.0,827797.0,841673.0,854950.0,866894.0,881694.0,890869.0,898553.0,906466.0,902862.0,911227.0,920569.0,933263.0,0.012218326731509,0.0151547513324265,0.0185262199473386,0.0167625637686534,0.015774534765877,0.0139704076261769,0.0170724448433141,0.0104061046122577,0.008625286097058,0.0088063809257773,-0.0039758799557843,0.009264981802313,0.0102521106156863,0.0137892977060926
Conroe,TX,65731.0,67352.0,69662.0,70676.0,73779.0,76322.0,82068.0,84809.0,87578.0,91079.0,91234.0,95529.0,101749.0,108905.0,114581.0,0.0246611188023915,0.0342974224967335,0.0145559989664379,0.0439045786405569,0.0344678024912237,0.0752862870469851,0.033399132426768,0.0326498366918605,0.0399757930073762,0.0017018192997288,0.0470767477037069,0.0651111180897947,0.0703299295324769,0.0521188191543088
Coral Gables,FL,46963.0,47613.0,49049.0,49762.0,50176.0,50275.0,50396.0,50628.0,50125.0,49700.0,49752.0,49661.0,49259.0,49801.0,50379.0,0.0138406830909439,0.0301598302984479,0.014536483924239,0.0083196013021984,0.0019730548469387,0.0024067628045748,0.0046035399634891,-0.0099352137157304,-0.0084788029925187,0.0010462776659959,-0.0018290721981025,-0.0080948833088338,0.0110030654296676,0.011606192646734
Corona,CA,153052.0,154693.0,157405.0,158763.0,160419.0,163154.0,166067.0,167310.0,168476.0,169868.0,157349.0,159146.0,159776.0,160491.0,161540.0,0.0107218461699291,0.0175314978699747,0.0086274260665163,0.0104306419001908,0.0170491026624028,0.0178542971670936,0.0074849307809498,0.0069690992767915,0.0082623044231819,-0.0736984011114512,0.0114204729613788,0.0039586291832656,0.0044750150210294,0.0065361920606139
Corpus Christi,TX,305272.0,308103.0,312390.0,317043.0,320765.0,324672.0,325786.0,325568.0,326307.0,326586.0,318285.0,318162.0,316441.0,316978.0,317317.0,0.0092736968998139,0.0139141780508466,0.0148948429847306,0.0117397324653122,0.0121802565741274,0.0034311551350285,-0.0006691509150178,0.0022698791035974,0.000855023030459,-0.0254175010563833,-0.0003864461096187,-0.0054091940583727,0.0016969988086246,0.0010694748531443
Costa Mesa,CA,110221.0,111151.0,111790.0,112244.0,112485.0,112808.0,112933.0,113665.0,113302.0,113003.0,112050.0,111043.0,110111.0,109302.0,109131.0,0.0084375935620253,0.0057489361319286,0.0040611861526075,0.0021471080859555,0.0028714939769747,0.0011080774413162,0.0064817192494664,-0.003193595214006,-0.0026389648902931,-0.0084334044228914,-0.0089870593485051,-0.0083931449978837,-0.0073471315309097,-0.0015644727452379
Dallas,TX,1200350.0,1218282.0,1242115.0,1258835.0,1279098.0,1301329.0,1323916.0,1342479.0,1341802.0,1343573.0,1303426.0,1290070.0,1303012.0,1317163.0,1326087.0,0.0149389761319615,0.0195627941642411,0.0134609114292959,0.0160966290260439,0.017380216371224,0.0173568713215489,0.014021282317005,-0.0005042909423536,0.0013198668656031,-0.0298807731325354,-0.0102468417846506,0.0100320137666948,0.0108602223156808,0.0067751675381103
Daytona Beach,FL,61626.0,61720.0,62199.0,62957.0,63560.0,64962.0,67076.0,68096.0,68709.0,69186.0,72298.0,75377.0,78436.0,82735.0,86015.0,0.0015253302177652,0.0077608554763447,0.0121866911043585,0.0095779659132423,0.0220578980490874,0.0325421015362827,0.0152066312839167,0.0090019971804511,0.0069423219665546,0.0449801983060156,0.0425876234473982,0.0405826711065709,0.0548090162680401,0.0396446485767812
Denton,TX,117010.0,120101.0,123573.0,125030.0,128217.0,131154.0,134261.0,135629.0,138315.0,141541.0,141128.0,147234.0,150850.0,159223.0,165998.0,0.0264165455943936,0.0289090015903281,0.0117906015068016,0.0254898824282172,0.0229064788600575,0.0236897082818671,0.0101891092722384,0.0198040242131107,0.023323573003651,-0.0029178824510212,0.0432656878861742,0.0245595446703886,0.0555054690089492,0.0425503853086551
Denver,CO,603359.0,620530.0,635163.0,649391.0,664582.0,683285.0,696159.0,704961.0,716265.0,727211.0,717620.0,711530.0,714851.0,721367.0,729019.0,0.0284590103072963,0.0235814545630348,0.0224005491503755,0.0233926863784684,0.028142501602511,0.0188413326796285,0.0126436633010562,0.0160349295918497,0.0152820534299456,-0.0131887443946804,-0.0084863855522421,0.004667406855649,0.0091151862416083,0.0106076379984113
Des Moines,IA,205032.0,207924.0,210244.0,212026.0,214350.0,215243.0,216308.0,216662.0,215994.0,214237.0,213769.0,212539.0,210950.0,211088.0,213096.0,0.0141051152990752,0.0111579230872818,0.008475866136489,0.0109609198871836,0.0041660835082808,0.0049478960988278,0.0016365552822826,-0.0030831433292409,-0.0081344852171819,-0.0021844966088957,-0.0057538745094003,-0.0074762749424811,0.0006541834557952,0.0095126203289623
