City,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2001_yoy,2002_yoy,2003_yoy,2004_yoy,2005_yoy,2006_yoy,2007_yoy,2008_yoy,2009_yoy,2010_yoy,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy,2025_yoy
New York,NY,282049.33989919204,314871.17762523994,340155.9847981723,380553.9928704508,434161.8755979496,509019.22397857945,538397.0693012422,538895.34406725,502388.8370622285,465004.9879829264,467268.26613759575,457189.7049525785,470550.3033709856,494704.00512580905,525654.8559197163,567913.514508725,610841.0792456483,657875.5339291474,694738.421440649,730505.8555524545,739737.1077480689,786865.5899683709,808447.5102222795,795347.5877512206,823236.5636647046,842446.7647111806,0.11636913505196941,0.08030206944830745,0.1187631847672713,0.14086800751489728,0.17241806014757177,0.057714608680278584,0.0009254782286509706,-0.06774322214308429,-0.0744121810068632,0.004867212638915671,-0.021569111183872714,0.029223314247185196,0.05133075376168756,0.0625643828899992,0.08039240599246539,0.07558820778205624,0.07699949509221574,0.056033224539205395,0.05148331085192631,0.012636794250790962,0.06370977165627395,0.027427708784134436,-0.016203800871941745,0.03506514176064552,0.023334970644355555
Los Angeles,CA,251343.4116525488,276700.6980735868,324482.8302770878,386020.440935631,490588.7177313433,586098.3685069468,623711.945545058,583179.5739068509,449905.2855567662,414627.8993697828,401899.1504892501,379509.6655754687,413355.6634958037,491825.1018258116,535235.4293101352,521350.14613973134,553851.3207807515,614603.4184644188,738563.6153030348,743405.7694645863,823720.0891463306,938565.2579886508,987048.0067167472,1025441.993734294,1039833.0093428928,1004805.2778484306,0.10088701452056091,0.17268526077514143,0.1896482800214543,0.2708879264068534,0.19468374898076363,0.06417621863362233,-0.0649857228608731,-0.2285304463893519,-0.07841069513848221,-0.030699209821335983,-0.055709211842139165,0.0891834938354277,0.18983515954851432,0.08826374929455737,-0.025942384248181388,0.06234039614579734,0.10969026416336153,0.20169135594515464,0.006556177506205409,0.10803564214949272,0.13942256642221873,0.05165623627705451,0.03889779094459454,0.014033963594753791,-0.03368591993112192
Houston,TX,107409.9628401379,108350.89247401163,113128.78670253564,115643.0437845136,125259.97581091349,127461.21385971137,131508.19161483925,133830.88934919232,127096.06971575506,126123.43284136412,122063.6243021554,116564.49258276664,118289.98265574114,131487.6432741982,147628.48517544527,162644.91048991078,172170.10762903502,179787.12103403045,190018.86789693855,198450.7694781267,211925.02390055344,242874.97965222705,275462.7341777912,274473.5106574904,275785.02070031414,267904.84019678104,0.008760170928223412,0.044096491680213894,0.022224733025635914,0.0831604886180602,0.01757335521220893,0.03175066071143916,0.017662000411014574,-0.05032335708286846,-0.007652769094797357,-0.032189169353763786,-0.0450513553962337,0.014802878944883786,0.11157039947216962,0.12275557991094045,0.10171766848802671,0.058564372598152156,0.04424120719844919,0.05691034376690093,0.04437402282473018,0.06789721429582002,0.14604200665890682,0.13417501700762513,-0.0035911337453811256,0.004778275468849669,-0.028573634940442322
Chicago,IL,135031.14662392135,149069.93916337102,162893.47668300546,179599.4538520194,201446.83971270896,227231.6941037985,239764.8353791521,238277.0865964101,208839.93795009147,175829.26426614914,159146.35854611802,142559.62072600497,136209.9083078823,155827.50542879142,170832.9937517027,182947.12563652484,195366.4091728587,209035.3673449552,219933.0269549964,225491.42620887872,245393.51619946907,268740.9162957804,274570.8026637892,283796.29503912095,299128.53496466164,307129.781466892,0.10396706900926692,0.0927318921387949,0.10255768069536729,0.1216450573323607,0.12799830678834337,0.05515577976384094,-0.006205033279335276,-0.12354166767272429,-0.15806686215273255,-0.09488128036968038,-0.10422316898508541,-0.044540749938768616,0.14402474360797946,0.09629550496634469,0.07091213247968609,0.06788455130477536,0.06996575424592211,0.05213308995724936,0.02527314487887126,0.08826096107155096,0.09514269349045594,0.02169333367008518,0.03359968461988412,0.05402551123307358,0.026748523015952323
San Antonio,TX,97724.41024091054,96543.1700211927,99674.00187478367,101966.74425507928,112116.90408320968,116140.04110981252,124419.22025623312,131689.61957690516,127936.06370264874,123566.48799478856,122166.97076108176,117857.17633280024,120951.52910326047,128229.11778446744,137983.21206239564,151193.90749839172,162273.03384831504,173493.60363789383,184111.9631653376,192291.305293175,208145.9121799782,241045.05359398256,270040.3226954325,262265.7832311472,256095.1613054699,248888.11826071164,-0.012087463273565408,0.03242934588644348,0.023002411232327977,0.09954382580597883,0.03588341168979293,0.07128617372015987,0.05843469606785132,-0.028503050478207097,-0.03415437040501746,-0.011326025821546631,-0.035277902050219856,0.026255106958633773,0.06016946404202826,0.07606770167695664,0.09574132416936518,0.07327759784263244,0.06914623781587292,0.06120317582200792,0.044425913380175854,0.08245098166363063,0.15805807123205654,0.12028983241568494,-0.028790290970929895,-0.023528124216794448,-0.028142050822122767
Philadelphia,PA,62299.01089246585,65660.43017023649,70506.62626703041,78557.6791950574,90985.25615576618,110684.5079663238,121409.73202365468,124989.1918293698,120185.60968951264,117700.8294105315,114695.70967391576,108463.18087550777,105256.34384350204,109722.08207553466,111471.87186782452,119964.5667875508,132808.0124893216,147496.70282315725,160182.59787099756,175508.3807900047,193940.29619255723,200765.6116365396,214481.06042469048,209673.31748191468,217358.50603955737,222249.29063834585,0.05395622225163057,0.07380695015596589,0.11418859977124923,0.15819684451027788,0.21651037368991546,0.09689905348446842,0.029482478431117183,-0.03843198015405055,-0.020674524058248885,-0.025531848430176435,-0.054339685556916706,-0.02956613484982045,0.04242725966876076,0.015947471640988992,0.07618688712607528,0.10706032660890362,0.11060093482700582,0.08600799072132617,0.09567695319406487,0.10502014387909063,0.03519286903225995,0.0683157273616208,-0.022415699238226765,0.036653154774000135,0.022501003930798083
Phoenix,AZ,127626.49824375716,136168.26437472648,143315.98849486886,151879.4976515502,172033.24955514036,244747.79871064905,257971.44713819423,239591.3868401764,173391.53964704674,133372.42209468107,117714.61826416512,106954.57355108723,138456.78889518054,173209.06287386292,183431.34798560687,204386.50375431997,221890.15235712903,238793.0992781423,257807.87079401524,273653.171950931,315844.65943840257,408703.5100730425,433166.0482729024,433423.5306184167,433902.44819208136,416043.9372956433,0.06692784216844358,0.05249185008683292,0.05975264341834362,0.13269567133957702,0.4226772983916816,0.05402969300319928,-0.07124842885488686,-0.27630311784659195,-0.23080201971692504,-0.11739911133502899,-0.09140788860166131,0.2945382726344672,0.25099725521578997,0.059017033763344086,0.11423977416530443,0.08563994334894579,0.0761770936720446,0.07962864744983625,0.061461665650913926,0.15417868971398926,0.2940016487844071,0.059853995859952415,0.0005944194992681657,0.0011049644050965576,-0.041157893832699396
Las Vegas,NV,169552.5080870079,181220.41301172576,192005.24813504276,215143.8628191664,301511.6173644745,344934.3612878754,351424.73072096234,312612.014427048,214469.6948471073,154545.5226136801,145285.67711266456,130295.26746257284,143212.43915917166,188135.6525856449,204180.40463378528,219942.7002329632,231677.5347496493,264310.6590724876,299653.530471226,306115.6716841698,324493.2918852091,399606.7139495423,437022.35526053706,432303.28942003794,458185.4966160964,449477.49687022506,0.06881587925983568,0.059512253305697795,0.12051032411285752,0.40144186970326134,0.1440168186651011,0.01881624494832573,-0.11044389566519257,-0.3139428910300037,-0.2794062456056851,-0.05991662096974836,-0.10317885388294072,0.09913768894414571,0.31368234275057555,0.08528288938130081,0.07719788599424572,0.05335405314318941,0.14085579923880698,0.13371716268561676,0.021565376529292347,0.060034888445698834,0.2314791212722663,0.09363116285308248,-0.010798225270846359,0.05987048405479654,-0.019005402419290433
San Diego,CA,285919.26752565923,327686.17770421936,383993.46453286754,448508.19477296295,573027.714022009,609953.09864475,590567.3241769484,538454.6036157291,452014.74997363455,444754.9534139159,441890.3358084143,415090.8204601046,448601.0730652704,525651.7768332021,552590.4915340747,592453.5137293267,622456.4963669204,673901.8930632102,701287.8794773222,707333.7225924693,788417.9495644709,931687.9084056244,1029657.945172302,1109483.4813939985,1165320.3981039124,1116600.6287033122,0.1460793829671232,0.17183296293770758,0.1680099694367932,0.2776304216962602,0.06443909032525898,-0.03178240181232731,-0.0882417946740396,-0.16053322427118263,-0.01606097270087342,-0.006440889715815187,-0.060647434842134425,0.08072992933937095,0.17175773397385752,0.051248213909149666,0.07213845117853229,0.05064191863549513,0.08264898349773857,0.04063794254921807,0.008621057474504082,0.11463362254922253,0.18171828650057642,0.10515327706069656,0.07752626646156613,0.050326947310435105,-0.041808046507957664
Dallas,TX,102168.9314548167,103367.12624608306,107851.88570404684,109560.25094507582,118257.88730718083,121155.60202320426,123619.0692697722,124910.88878533704,115039.1880703896,114793.24671416952,108134.73298161488,103008.42164140106,108704.04096444527,121654.64049655676,134949.23236563258,155259.77282372574,179637.8037792337,200022.23244443137,221286.453817138,228559.1343892011,249064.96930628107,286298.4066783521,330577.3926444859,331052.4167121662,330981.57426485646,317451.2697114546,0.011727584640505426,0.0433867093033722,0.01583991999654836,0.07938678751717414,0.02450335264739231,0.0203330857626882,0.010450001955165369,-0.07902994535498215,-0.0021378919683403322,-0.058004402899536976,-0.047406704569986816,0.055292754051432205,0.11913632112671275,0.10928142004950558,0.15050504624630703,0.15701447008547142,0.11347516077545208,0.10630928928670018,0.032865457630194224,0.08971785342064557,0.14949287118046775,0.15466025983120463,0.0014369526720514434,-0.00021399163314777674,-0.04087932865584455
