City,State,2017,2018,2019,2020,2021,2022,2023,2024,2025
New York City,NY,0.022064700529154102,0.03409749564086617,0.031323818931239256,-0.2001290464790828,0.32575757469386435,0.036438317761056105,0.031740351573969594,0.023530831057433144,0.0708966656330332
Los Angeles,CA,-0.007411821101271698,0.03876064235630938,0.031067896387194205,-0.10171908800577678,0.15397692056901313,0.018585167689980864,-0.031326398362925834,-0.007378064731237144,0.010494987084735952
Chicago,IL,0.009429965918436256,0.028694712880864115,0.037998592983773394,-0.11446282469429403,0.14686317665156645,0.05441672860450786,0.03553426875004728,0.005786545490604977,0.08320680710926509
Houston,TX,0.01359376076241614,-0.004849845752148529,0.0050390383342564515,-0.026463090500943753,0.10475311812172006,0.03543766778068602,-0.005903122917606418,0.0015492647285102468,0.0030799951377742385
Phoenix,AZ,0.04837627324348892,0.08413778121925475,0.07985687185833257,0.04670291806606497,0.28741401341070305,-0.017344096055934788,-0.04656826789144208,-0.031759780755857836,-0.026681836045005847
Philadelphia,PA,0.009138007329084541,0.01437968270533796,0.003413046510329698,-0.0543806636811307,0.12880122140436656,0.02468486961943972,0.00170753085333053,-0.009064223021540085,0.02050648453414361
San Antonio,TX,0.0011557815357843282,0.01888662247246664,0.01600899787276555,-0.0013454371002211696,0.15016855544487573,0.03719856392214993,-0.03172669197572053,-0.027391758256563703,-0.019357583350420704
San Diego,CA,0.03604497263456019,0.05726554753272395,0.014918315663507986,0.019311016799553604,0.20061469152267297,0.04058597601855829,-0.023997811993321516,0.002586553538835634,0.0002490687517329171
Dallas,TX,0.020756981517069173,0.010666312617406914,0.021634148199349834,-0.022599155898595513,0.1694943083698739,0.05767616057131386,-0.020574913555423957,-0.021494733475257766,0.001373633737107971
San Jose,CA,0.02247171321203978,0.0463794301322924,0.010657122142017972,-0.12886478980566196,0.11245436663856667,0.0658855982165314,-0.003989413350791615,0.03410846738798834,0.0519396262808014
Austin,TX,-0.0018888687022121653,0.05056484720578158,0.0348443616508094,-0.041529818380550365,0.24712979033499072,0.030992075689482812,-0.05669177716706497,-0.07382440319033434,-0.038793576363110316
